Index A,Index B,Issue Name,Where the issue is found,Type of Issue,Evidence of Exploitation,Potential damage incured during testing,Security Level
8,14,Key system does not match security requirement - 5 or 6 pin and tumbler lock,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,15,Key system does not match security requirement - Wafer lock,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,16,Key system does not match security requirement - Non-restricted keyway,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,17,Key system does not match security requirement - No Patent Protection on Keys,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,SL2
8,18,Key system does not match security requirement - Lock picked publicly in under x period of time,Keys and Key Systems,Security Enhancements,Varies,Not Applicable,Varies
9,8,Pin Tumbler Lock in use weak to overlifting attack,Locks,Security Enhancements,Covert,No identifiable signs of damage,SL3
9,9,Pin Tumbler Lock in use weak to Impressioning attack,Locks,Security Enhancements,Surreptitious,No identifiable signs of damage,SL3
9,10,Pin Tumbler Lock in use weak to jiggling attack,Locks,Security Enhancements,Covert,No identifiable signs of damage,SL2
9,11,Wafer lock in use weak to jiggling attack,Locks,Security Enhancements,Covert,No identifiable signs of damage,SL2
9,12,Padlock in use shimmable due to spring based locking pawl,Locks,Security Enhancements,Covert,Varies,SL2
9,17,Digital Combonation lock in use suseptable to thermal impressioning (FLIR),Locks,Security Enhancements,Surreptitious,Not Applicable,SL4
9,18,Digital Combonation lock in use suseptable to impressioning (Dust/Powder Cover),Locks,Security Enhancements,Covert,No identifiable signs of damage,SL3
9,19,Digital Combonation lock in use displays valid code sequence on buttons (Worn buttons show valid sequence for entry),Locks,Security Enhancements,Surreptitious,Not Applicable,SL1
9,20,Digital Combonation lock in use displays valid code nearby (Stickered or written code nearby),Locks,Security Enhancements,Surreptitious,Not Applicable,SL1
10,3,RFID Access Cards are able to be duplicated,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,Varies
10,5,RFID Access Card does not implement recommended hardening on card,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL2
10,6,RFID Access Card does not use virtual contact interface,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL4
10,7,RFID Reader uses insecure communication protocol,RFID Access Control Systems,Security Enhancements,Covert,Not Applicable,SL3
10,8,RFID Reader not actively synced between Security Management System,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL1
10,11,RFID Reader does not detect Magic Cards in use,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,Varies
10,13,RFID Access Controller does not implement Message Replay Protections,RFID Access Control Systems,Security Enhancements,Surreptitious,Not Applicable,SL3
10,16,RFID Access Controller does not prevent Bruteforcing of UIDs (CHUID Exploits),RFID Access Control Systems,Security Enhancements,Covert,Not Applicable,SL3
